Tickers,Company,MCap,Price,24h Change %,Price Range
CL,Colgate-Palmolive Company,7509.0,91.91,-0.13,50-100
ZTS,Zoetis Inc.,7412.0,164.28,-0.34,100-200
FTNT,"Fortinet, Inc.",7390.0,96.42,-0.79,50-100
MCK,McKesson Corporation,7321.0,576.76,-0.51,500-1000
GD,General Dynamics Corporation,7280.0,265.19,0.59,200-500
TDG,TransDigm Group Incorporated,7257.0,,1.13,
CEG,Constellation Energy Corporation,7140.0,228.28,0.56,200-500
EMR,Emerson Electric Co.,7097.0,123.93,-0.13,100-200
MMM,3M Company,7024.0,128.98,-0.23,100-200
ORLY,"O'Reilly Automotive, Inc.",6970.0,,-0.97,
COF,Capital One Financial Corporation,6866.0,179.97,0.74,100-200
NOC,Northrop Grumman Corporation,6807.0,467.2,-0.5,200-500
ECL,Ecolab Inc.,6770.0,239.09,0.34,200-500
EOG,"EOG Resources, Inc.",6741.0,119.85,0.68,100-200
WMB,"The Williams Companies, Inc.",6589.0,54.05,1.05,50-100
BDX,"Becton, Dickinson and Company",6547.0,226.44,-0.54,200-500
APD,"Air Products and Chemicals, Inc.",6528.0,293.55,-0.49,200-500
FDX,FedEx Corporation,6479.0,269.01,-2.44,200-500
SPG,"Simon Property Group, Inc.",6435.0,171.38,-0.13,100-200
RCL,Royal Caribbean Cruises Ltd.,6396.0,237.87,-0.23,200-500
ADSK,"Autodesk, Inc.",6391.0,297.49,-0.21,200-500
RSG,"Republic Services, Inc.",6334.0,202.26,-0.72,200-500
AJG,Arthur J. Gallagher & Co.,6243.0,284.51,0.5,200-500
CSX,CSX Corporation,6213.0,32.22,1.16,<50
CARR,Carrier Global Corporation,6172.0,68.79,0.44,50-100
HLT,Hilton Worldwide Holdings Inc.,6112.0,250.71,0.52,200-500
TGT,Target Corporation,6045.0,131.92,0.33,100-200
DLR,"Digital Realty Trust, Inc.",6034.0,178.47,-0.06,100-200
KMI,"Kinder Morgan, Inc.",6010.0,27.05,0.74,<50
OKE,"ONEOK, Inc.",5899.0,100.97,0.89,100-200
TFC,Truist Financial Corporation,5780.0,43.54,0.51,<50
GM,General Motors Company,5779.0,52.56,1.45,50-100
AFL,Aflac Incorporated,5707.0,102.74,0.05,100-200
MET,"MetLife, Inc.",5658.0,81.71,0.43,50-100
BK,The Bank of New York Mellon Corporation,5640.0,77.57,-0.06,50-100
FCX,Freeport-McMoRan Inc.,5640.0,39.25,1.0,<50
ROP,"Roper Technologies, Inc.",5629.0,524.94,-0.09,500-1000
CPRT,"Copart, Inc.",5623.0,58.36,0.24,50-100
CHTR,"Charter Communications, Inc.",5567.0,349.47,-0.58,200-500
CVS,CVS Health Corporation,5555.0,44.14,-0.5,<50
SRE,Sempra,5513.0,87.04,0.27,50-100
PCAR,PACCAR Inc,5489.0,104.7,-0.59,100-200
TRV,"The Travelers Companies, Inc.",5479.0,241.36,0.25,200-500
NXPI,NXP Semiconductors N.V.,5441.0,214.09,1.83,200-500
AZO,"AutoZone, Inc.",5441.0,,-0.35,
NSC,Norfolk Southern Corporation,5334.0,235.77,0.69,200-500
JCI,Johnson Controls International plc,5318.0,80.31,0.05,50-100
GWW,"W.W. Grainger, Inc.",5271.0,,-0.97,
SLB,Schlumberger Limited,5262.0,37.26,1.17,<50
PSA,Public Storage,5248.0,298.82,0.44,200-500
AMP,"Ameriprise Financial, Inc.",5183.0,534.23,0.4,500-1000
ALL,The Allstate Corporation,5127.0,193.63,0.04,100-200
FICO,Fair Isaac Corporation,5065.0,,-0.5,
MNST,Monster Beverage Corporation,5043.0,51.86,0.27,50-100
PAYX,"Paychex, Inc.",5017.0,139.34,-0.14,100-200
AEP,"American Electric Power Company, Inc.",4945.0,92.86,0.12,50-100
ROST,"Ross Stores, Inc.",4905.0,148.68,-0.32,100-200
PWR,"Quanta Services, Inc.",4833.0,327.38,-0.31,200-500
CMI,Cummins Inc.,4817.0,351.13,-0.07,200-500
VST,Vistra Corp.,4790.0,140.79,0.6,100-200
AXON,"Axon Enterprise, Inc.",4759.0,624.14,-1.2,500-1000
MSCI,MSCI Inc.,4745.0,605.42,0.1,500-1000
URI,"United Rentals, Inc.",4722.0,719.6,-0.42,500-1000
LULU,Lululemon Athletica Inc.,4670.0,383.49,1.07,200-500
O,Realty Income Corporation,4653.0,53.0,0.4,50-100
PSX,Phillips 66,4563.0,110.48,0.1,100-200
FANG,"Diamondback Energy, Inc.",4558.0,156.1,0.75,100-200
AIG,"American International Group, Inc.",4520.0,72.47,-0.3,50-100
D,"Dominion Energy, Inc.",4509.0,53.68,0.04,50-100
DHI,"D.R. Horton, Inc.",4499.0,140.09,0.34,100-200
HWM,Howmet Aerospace Inc.,4491.0,110.54,-0.26,100-200
OXY,Occidental Petroleum Corporation,4489.0,47.84,1.51,<50
NDAQ,"Nasdaq, Inc.",4480.0,77.94,0.31,50-100
EW,Edwards Lifesciences Corporation,4412.0,74.81,,50-100
KR,The Kroger Co.,4411.0,60.96,-1.44,50-100
COR,"Cencora, Inc.",4400.0,227.64,-0.02,200-500
KMB,Kimberly-Clark Corporation,4383.0,131.44,0.09,100-200
FIS,"Fidelity National Information Services, Inc.",4382.0,81.4,-0.07,50-100
DFS,Discover Financial Services,4381.0,174.51,0.78,100-200
KDP,Keurig Dr Pepper Inc.,4375.0,32.25,-0.37,<50
NEM,Newmont Corporation,4325.0,38.16,-0.31,<50
TEL,TE Connectivity plc,4311.0,144.11,0.31,100-200
MPC,Marathon Petroleum Corporation,4306.0,133.98,0.45,100-200
PCG,PG&E Corporation,4273.0,19.99,0.86,<50
FAST,Fastenal Company,4267.0,74.48,-0.45,50-100
PEG,Public Service Enterprise Group Incorporated,4246.0,85.23,0.2,50-100
PRU,"Prudential Financial, Inc.",4221.0,118.56,0.62,100-200
AME,"AMETEK, Inc.",4211.0,182.07,-0.7,100-200
KVUE,Kenvue Inc.,4139.0,21.59,-0.83,<50
STZ,"Constellation Brands, Inc.",4109.0,226.36,-0.56,200-500
GLW,Corning Incorporated,4067.0,47.5,0.4,<50
LHX,"L3Harris Technologies, Inc.",4041.0,213.03,-0.24,200-500
